Nederlandse naam;Wetenschappelijke naam;Soortgroep;Categorie;Habitattype;Omschrijving
Blauw kweldergras;Puccinellia fasciculata;Vaatplanten;E;H1330A;Schorren en zilte graslanden (buitendijks)
Bleek kweldergras;Puccinellia distans ssp. Borealis;Vaatplanten;E;H1330A;Schorren en zilte graslanden (buitendijks)
Dunstaart;Parapholis strigosa;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Engels gras;Armeria maritima;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Engels lepelblad;Cochlearia officinalis ssp. Anglica;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Gerande schijnspurrie;Spergularia media;Vaatplanten;K + Ca;H1330A;Schorren en zilte graslanden (buitendijks)
Gesteelde zoutmelde;Atriplex pedunculata;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Gewone zoutmelde;Atriplex portulacoides;Vaatplanten;K + Ca;H1330A;Schorren en zilte graslanden (buitendijks)
Gewoon kweldergras;Puccinellia maritima;Vaatplanten;K + Ca;H1330A;Schorren en zilte graslanden (buitendijks)
Knolvossenstaart;Alopecurus bulbosus;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Kwelderzegge;Carex extensa;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Lamsoor;Limonium vulgare;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Melkkruid;Glaux maritima;Vaatplanten;K + Ca;H1330A;Schorren en zilte graslanden (buitendijks)
Rode bies;Blysmus rufus;Vaatplanten;E;H1330A;Schorren en zilte graslanden (buitendijks)
Schorrenzoutgras;Triglochin maritima;Vaatplanten;K + Ca;H1330A;Schorren en zilte graslanden (buitendijks)
Stekende bies;Schoenoplectus pungens;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Stomp kweldergras;Puccinellia distans ssp. Distans;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Zeealsem;Artemisia maritima;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Zeegerst;Hordeum marinum;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Zeerus;Juncus maritimus;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Zeeweegbree;Plantago maritima;Vaatplanten;K + Ca;H1330A;Schorren en zilte graslanden (buitendijks)
Zilte rus;Juncus gerardi;Vaatplanten;K + Ca;H1330A;Schorren en zilte graslanden (buitendijks)
Zilte schijnspurrie;Spergularia salina;Vaatplanten;K;H1330A;Schorren en zilte graslanden (buitendijks)
Zulte;Aster tripolium;Vaatplanten;K + Ca;H1330A;Schorren en zilte graslanden (buitendijks)
Bergeend;Tadorna tadorna;Vogels;Cab;H1330A;Schorren en zilte graslanden (buitendijks)
Kluut;Recurvirostra avosetta;Vogels;Cab;H1330A;Schorren en zilte graslanden (buitendijks)
Tureluur;Tringa totanus ssp. totanus;Vogels;Cab;H1330A;Schorren en zilte graslanden (buitendijks)
Haas;Lepus europaeus;Zoogdieren;Cb;H1330A;Schorren en zilte graslanden (buitendijks)
Blauw kweldergras;Puccinellia fasciculata;Vaatplanten;E;H1330B;Schorren en zilte graslanden (binnendijks)
Bleek kweldergras;Puccinellia distans ssp. Borealis;Vaatplanten;E;H1330B;Schorren en zilte graslanden (binnendijks)
Dunstaart;Parapholis strigosa;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Engels gras;Armeria maritima;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Engels lepelblad;Cochlearia officinalis ssp. Anglica;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Gerande schijnspurrie;Spergularia media;Vaatplanten;K + Ca;H1330B;Schorren en zilte graslanden (binnendijks)
Gesteelde zoutmelde;Atriplex pedunculata;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Gewone zoutmelde;Atriplex portulacoides;Vaatplanten;K + Ca;H1330B;Schorren en zilte graslanden (binnendijks)
Gewoon kweldergras;Puccinellia maritima;Vaatplanten;K + Ca;H1330B;Schorren en zilte graslanden (binnendijks)
Knolvossenstaart;Alopecurus bulbosus;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Kwelderzegge;Carex extensa;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Lamsoor;Limonium vulgare;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Melkkruid;Glaux maritima;Vaatplanten;K + Ca;H1330B;Schorren en zilte graslanden (binnendijks)
Rode bies;Blysmus rufus;Vaatplanten;E;H1330B;Schorren en zilte graslanden (binnendijks)
Schorrenzoutgras;Triglochin maritima;Vaatplanten;K + Ca;H1330B;Schorren en zilte graslanden (binnendijks)
Stekende bies;Schoenoplectus pungens;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Stomp kweldergras;Puccinellia distans ssp. Distans;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Zeealsem;Artemisia maritima;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Zeegerst;Hordeum marinum;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Zeerus;Juncus maritimus;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Zeeweegbree;Plantago maritima;Vaatplanten;K + Ca;H1330B;Schorren en zilte graslanden (binnendijks)
Zilte rus;Juncus gerardi;Vaatplanten;K + Ca;H1330B;Schorren en zilte graslanden (binnendijks)
Zilte schijnspurrie;Spergularia salina;Vaatplanten;K;H1330B;Schorren en zilte graslanden (binnendijks)
Zulte;Aster tripolium;Vaatplanten;K + Ca;H1330B;Schorren en zilte graslanden (binnendijks)
Tureluur;Tringa totanus ssp. totanus;Vogels;Cab;H1330B;Schorren en zilte graslanden (binnendijks)
Haas;Lepus europaeus;Zoogdieren;Cb;H1330B;Schorren en zilte graslanden (binnendijks)
Strandplevier;Charadrius alexandrinus ssp. alexandrinus;Vogels;Ca;H2110;Embryonale wandelende duinen
Duinfranjehoed;Psathyrella ammophila;Paddenstoelen;K + Cab;H2120;Witte duinen
Duinstinkzwam;Phallus hadriani;Paddenstoelen;K;H2120;Witte duinen
Duinveldridderzwam;Melanoleuca cinereifolia;Paddenstoelen;K;H2120;Witte duinen
Helmharpoenzwam;Hohenbuehelia culmicola;Paddenstoelen;K;H2120;Witte duinen
Zandtulpje;Peziza ammophila;Paddenstoelen;K;H2120;Witte duinen
Zeeduinchampignon;Agaricus devoniensis;Paddenstoelen;K;H2120;Witte duinen
Duinsabelsprinkhaan;Platycleis albopunctata;Sprinkhanen & krekels;Ca;H2120;Witte duinen
Akkermelkdistel;Sonchus arvensis;Vaatplanten;Ca;H2120;Witte duinen
Blauwe zeedistel;Eryngium maritimum;Vaatplanten;K;H2120;Witte duinen
Duinteunisbloem;Oenothera oakesiana;Vaatplanten;K;H2120;Witte duinen
Noordse helm;x Calammophila baltica;Vaatplanten;K;H2120;Witte duinen
