Soortgroep;Soorten;beheercode
broedvogels;Baardman;N05.03
broedvogels;blauwborst;N05.03
broedvogels;blauwe kiekendief;N05.03
broedvogels;bruine kiekendief;N05.03
broedvogels;buidelmees;N05.03
broedvogels;grote karekiet;N05.03
broedvogels;grote zilverreiger;N05.03
broedvogels;klein waterhoen;N05.03
broedvogels;kleinst waterhoen;N05.03
broedvogels;kwak;N05.03
broedvogels;lepelaar;N05.03
broedvogels;porseleinhoen;N05.03
broedvogels;purperreiger;N05.03
broedvogels;rietzanger;N05.03
broedvogels;roerdomp;N05.03
broedvogels;snor;N05.03
broedvogels;sprinkhaanzanger;N05.03
broedvogels;waterral;N05.03
broedvogels;woudaap.;N05.03
broedvogels;Baardman;N05.04
broedvogels;blauwborst;N05.04
broedvogels;blauwe kiekendief;N05.04
broedvogels;bruine kiekendief;N05.04
broedvogels;buidelmees;N05.04
broedvogels;grote karekiet;N05.04
broedvogels;grote zilverreiger;N05.04
broedvogels;klein waterhoen;N05.04
broedvogels;kleinst waterhoen;N05.04
broedvogels;kwak;N05.04
broedvogels;lepelaar;N05.04
broedvogels;porseleinhoen;N05.04
broedvogels;purperreiger;N05.04
broedvogels;rietzanger;N05.04
broedvogels;roerdomp;N05.04
broedvogels;snor;N05.04
broedvogels;sprinkhaanzanger;N05.04
broedvogels;waterral;N05.04
broedvogels;woudaap.;N05.04
broedvogels;appelvink;N01.03
broedvogels;baardman;N01.03
broedvogels;bergeend;N01.03
broedvogels;blauwborst;N01.03
broedvogels;blauwe kiekendief;N01.03
broedvogels;boomkruiper;N01.03
broedvogels;bosrietzanger;N01.03
broedvogels;bruine kiekendief;N01.03
broedvogels;buidelmees;N01.03
broedvogels;geelgors;N01.03
broedvogels;gekraagde roodstaart;N01.03
broedvogels;gele kwikstaart;N01.03
broedvogels;grasmus;N01.03
broedvogels;graspieper;N01.03
broedvogels;grauwe klauwier;N01.03
broedvogels;grauwe vliegenvanger;N01.03
broedvogels;grote bonte specht;N01.03
broedvogels;grote karekiet;N01.03
broedvogels;grote zilverreiger;N01.03
broedvogels;grutto;N01.03
broedvogels;kemphaan;N01.03
broedvogels;klein waterhoen;N01.03
broedvogels;kleine bonte specht;N01.03
broedvogels;kleine plevier;N01.03
broedvogels;kleinst waterhoen;N01.03
broedvogels;kluut;N01.03
broedvogels;kneu;N01.03
broedvogels;kwak;N01.03
broedvogels;kwartelkoning;N01.03
broedvogels;lepelaar;N01.03
broedvogels;matkop;N01.03
broedvogels;nachtegaal;N01.03
broedvogels;paapje;N01.03
broedvogels;patrijs;N01.03
broedvogels;porseleinhoen;N01.03
broedvogels;purperreiger;N01.03
broedvogels;putter;N01.03
broedvogels;rietzanger;N01.03
broedvogels;roerdomp;N01.03
broedvogels;roodborsttapuit;N01.03
broedvogels;scholekster;N01.03
broedvogels;slobeend;N01.03
broedvogels;snor;N01.03
broedvogels;spotvogel;N01.03
broedvogels;sprinkhaanzanger;N01.03
broedvogels;tureluur;N01.03
broedvogels;visdief;N01.03
broedvogels;waterral;N01.03
broedvogels;watersnip;N01.03
broedvogels;wielewaal;N01.03
broedvogels;woudaap;N01.03
broedvogels;zomertaling;N01.03
broedvogels;zwarte stern;N01.03
broedvogels;appelvink;N01.04
broedvogels;blauwborst;N01.04
broedvogels;boomklever;N01.04
broedvogels;boomkruiper;N01.04
broedvogels;boomleeuwerik;N01.04
broedvogels;bosrietzanger;N01.04
broedvogels;draaihals;N01.04
broedvogels;duinpieper;N01.04
broedvogels;fluiter;N01.04
broedvogels;geelgors;N01.04
broedvogels;gekraagde roodstaart;N01.04
broedvogels;geoorde fuut;N01.04
broedvogels;goudplevier;N01.04
broedvogels;grasmus;N01.04
broedvogels;grauwe klauwier;N01.04
broedvogels;grauwe vliegenvanger;N01.04
broedvogels;groene specht;N01.04
broedvogels;grote bonte specht;N01.04
broedvogels;klapekster;N01.04
broedvogels;kleine bonte specht;N01.04
broedvogels;kneu;N01.04
broedvogels;korhoen;N01.04
broedvogels;kraanvogel;N01.04
broedvogels;kwak;N01.04
broedvogels;matkop;N01.04
broedvogels;middelste bonte specht;N01.04
broedvogels;nachtegaal;N01.04
broedvogels;paapje;N01.04
broedvogels;putter;N01.04
broedvogels;raaf;N01.04
broedvogels;roodborsttapuit;N01.04
broedvogels;spotvogel;N01.04
broedvogels;sprinkhaanzanger;N01.04
broedvogels;tapuit;N01.04
broedvogels;veldleeuwerik;N01.04
broedvogels;watersnip;N01.04
broedvogels;wespendief;N01.04
broedvogels;wielewaal;N01.04
broedvogels;wulp;N01.04
broedvogels;zwarte specht;N01.04
broedvogels;appelvink;N16.04
broedvogels;blauwborst;N16.04
broedvogels;boomklever;N16.04
broedvogels;boomkruiper;N16.04
broedvogels;fluiter;N16.04
broedvogels;groene specht;N16.04
broedvogels;grote bonte specht;N16.04
broedvogels;keep;N16.04
broedvogels;kleine bonte specht;N16.04
broedvogels;matkop;N16.04
broedvogels;middelste bonte specht;N16.04
broedvogels;nachtegaal;N16.04
broedvogels;sijs;N16.04
broedvogels;vuurgoudhaan;N16.04
broedvogels;wielewaal;N16.04
broedvogels;zwarte specht;N16.04
broedvogels;appelvink;N14.01
broedvogels;blauwborst;N14.01
broedvogels;kleine bonte specht;N14.01
broedvogels;kwak;N14.01
broedvogels;nachtegaal;N14.01
broedvogels;wielewaal;N14.01
broedvogels;appelvink;N15.02
broedvogels;boomklever;N15.02
broedvogels;boomleeuwerik;N15.02
broedvogels;fluiter;N15.02
broedvogels;geelgors;N15.02
broedvogels;groene specht;N15.02
broedvogels;keep;N15.02
broedvogels;kleine bonte specht;N15.02
broedvogels;middelste bonte specht;N15.02
broedvogels;raaf;N15.02
broedvogels;sijs;N15.02
broedvogels;vuurgoudhaan;N15.02
broedvogels;wespendief;N15.02
broedvogels;wielewaal;N15.02
broedvogels;zwarte specht;N15.02
broedvogels;appelvink;N16.03
broedvogels;boomklever;N16.03
broedvogels;boomleeuwerik;N16.03
broedvogels;fluiter;N16.03
broedvogels;geelgors;N16.03
broedvogels;groene specht;N16.03
broedvogels;keep;N16.03
broedvogels;kleine bonte specht;N16.03
broedvogels;middelste bonte specht;N16.03
broedvogels;raaf;N16.03
broedvogels;sijs;N16.03
broedvogels;vuurgoudhaan;N16.03
broedvogels;wespendief;N16.03
broedvogels;wielewaal;N16.03
broedvogels;zwarte specht;N16.03
broedvogels;appelvink;N14.03
broedvogels;boomklever;N14.03
broedvogels;boomleeuwerik;N14.03
broedvogels;fluiter;N14.03
broedvogels;groene specht;N14.03
broedvogels;kleine bonte specht;N14.03
broedvogels;middelste bonte specht;N14.03
broedvogels;nachtegaal;N14.03
broedvogels;wielewaal;N14.03
broedvogels;zwarte specht;N14.03
broedvogels;appelvink;N17.03
broedvogels;boomklever;N17.03
broedvogels;fluiter;N17.03
broedvogels;gekraagde roodstaart;N17.03
broedvogels;groene specht;N17.03
broedvogels;grote bonte specht;N17.03
broedvogels;kleine bonte specht;N17.03
broedvogels;middelste bonte specht;N17.03
broedvogels;nachtegaal;N17.03
broedvogels;wielewaal;N17.03
broedvogels;zwarte specht;N17.03
broedvogels;baardman;N05.01
broedvogels;blauwborst;N05.01
broedvogels;blauwe kiekendief;N05.01
broedvogels;bruine kiekendief;N05.01
broedvogels;buidelmees;N05.01
broedvogels;grote karekiet;N05.01
broedvogels;grote zilverreiger;N05.01
broedvogels;klein waterhoen;N05.01
broedvogels;kleinst waterhoen;N05.01
broedvogels;kwak;N05.01
broedvogels;lepelaar;N05.01
broedvogels;porseleinhoen;N05.01
broedvogels;purperreiger;N05.01
broedvogels;rietzanger;N05.01
broedvogels;roerdomp;N05.01
broedvogels;snor;N05.01
broedvogels;sprinkhaanzanger;N05.01
broedvogels;waterral;N05.01
broedvogels;woudaap;N05.01
broedvogels;baardman;N05.02
broedvogels;blauwborst;N05.02
broedvogels;blauwe kiekendief;N05.02
broedvogels;bruine kiekendief;N05.02
broedvogels;buidelmees;N05.02
broedvogels;grote karekiet;N05.02
broedvogels;grote zilverreiger;N05.02
broedvogels;klein waterhoen;N05.02
broedvogels;kleinst waterhoen;N05.02
broedvogels;kwak;N05.02
broedvogels;lepelaar;N05.02
broedvogels;porseleinhoen;N05.02
broedvogels;purperreiger;N05.02
broedvogels;rietzanger;N05.02
broedvogels;roerdomp;N05.02
broedvogels;snor;N05.02
broedvogels;sprinkhaanzanger;N05.02
broedvogels;waterral;N05.02
broedvogels;woudaap;N05.02
broedvogels;bergeend;N01.02
broedvogels;blauwborst;N01.02
broedvogels;blauwe kiekendief;N01.02
broedvogels;bontbekplevier;N01.02
broedvogels;boomleeuwerik;N01.02
broedvogels;braamsluiper;N01.02
broedvogels;duinpieper;N01.02
broedvogels;dodaars;N01.02
broedvogels;dwergstern;N01.02
broedvogels;eider;N01.02
broedvogels;gele kwikstaart;N01.02
broedvogels;graspieper;N01.02
broedvogels;grauwe klauwier;N01.02
broedvogels;griel;N01.02
broedvogels;grote sternkemphaan;N01.02
broedvogels;kleine barmsijs;N01.02
broedvogels;kleine bonte specht;N01.02
broedvogels;kleine mantelmeeuw;N01.02
broedvogels;kleine plevier;N01.02
broedvogels;kluut;N01.02
broedvogels;kneu;N01.02
broedvogels;lepelaar;N01.02
broedvogels;nachtegaal;N01.02
broedvogels;noordse stern;N01.02
broedvogels;paapje;N01.02
broedvogels;roerdomp;N01.02
broedvogels;roodborsttapuit;N01.02
broedvogels;scholekster;N01.02
broedvogels;slechtvalk;N01.02
broedvogels;sprinkhaanzanger;N01.02
broedvogels;stormmeeuw;N01.02
broedvogels;strandplevier;N01.02
broedvogels;tapuit;N01.02
broedvogels;tureluur;N01.02
broedvogels;veldleeuwerik;N01.02
broedvogels;velduil;N01.02
broedvogels;visdief;N01.02
broedvogels;watersnip;N01.02
broedvogels;wielewaal;N01.02
broedvogels;wintertaling;N01.02
broedvogels;wulp;N01.02
broedvogels;zilvermeeuw;N01.02
broedvogels;zomertaling;N01.02
broedvogels;bergeend;N08.02
broedvogels;blauwe kiekendief;N08.02
broedvogels;braamsluiper;N08.02
broedvogels;eider;N08.02
broedvogels;graspieper;N08.02
broedvogels;grauwe klauwier;N08.02
broedvogels;kneu;N08.02
broedvogels;nachtegaal;N08.02
broedvogels;paapje;N08.02
broedvogels;roodborsttapuit;N08.02
broedvogels;tapuit;N08.02
broedvogels;veldleeuwerik;N08.02
broedvogels;velduil;N08.02
broedvogels;wulp;N08.02
broedvogels;bergeend;N09.01
broedvogels;blauwe kiekendief;N09.01
broedvogels;grutto;N09.01
broedvogels;kluut;N09.01
broedvogels;lepelaar;N09.01
broedvogels;scholekster;N09.01
